timestamp_ms,host_timestamp_ms,adb_latency_ms,voltage_v,current_a,power_w,skin_temp_c,thermal_status,runner_pid,rss_kb,vmhwm_kb,valid_power,error
1785751873291.000,1785751872576.885,128.502,4.108,0.017,0.069836,51.095,0,32481,11240,11240,True,
1785751873815.500,1785751873088.547,151.387,4.073,0.127,0.517271,51.087,0,32481,1018472,1018472,True,
1785751874281.000,1785751873571.963,117.713,4.082,0.096,0.391872,51.072,0,32481,80528,1885032,True,
1785751874771.500,1785751874068.020,109.277,4.088,0.028,0.11446400000000001,51.072,0,32481,73528,1885032,True,
1785751875410.000,1785751874643.777,260.420,4.029,0.224,0.902496,51.072,0,32481,73936,1885032,True,
1785751875913.500,1785751875139.631,251.670,3.993,0.264,1.054152,51.047,0,32481,73912,1885032,True,
1785751876644.500,1785751875758.222,488.307,4.019,0.207,0.831933,51.055,0,32481,73840,1885032,True,
1785751876790.500,1785751876082.485,136.399,4.065,0.272,1.1056800000000002,51.0,0,32481,74076,1885032,True,
1785751877372.000,1785751876624.069,218.780,4.011,0.195,0.7821450000000001,51.0,0,32481,74076,1885032,True,
1785751877877.500,1785751877128.463,226.528,4.011,0.217,0.870387,51.0,0,32481,74040,1885032,True,
1785751878342.500,1785751877607.951,184.534,4.058,0.209,0.8481219999999999,50.984,0,32481,74004,1885032,True,
1785751878810.000,1785751878093.242,154.075,4.071,0.072,0.293112,51.0,0,32481,73968,1885032,True,
1785751879377.000,1785751878630.694,228.034,4.025,0.211,0.849275,51.0,0,32481,73912,1885032,True,
1785751879918.500,1785751879143.954,253.867,4.008,0.24,0.96192,51.047,0,32481,73852,1885032,True,
1785751880418.500,1785751879646.281,258.171,4.012,0.225,0.9027,51.063,0,32481,73848,1885032,True,
1785751880946.500,1785751880162.009,288.958,4.005,0.229,0.917145,51.103,0,32481,73848,1885032,True,
1785751881413.000,1785751880647.773,259.544,3.992,0.226,0.902192,51.103,0,32481,73848,1885032,True,
1785751881774.500,1785751881069.833,103.234,4.08,0.055,0.22440000000000002,51.15,0,,,,True,
1785751881865.000,1785751881164.734,85.957,4.086,0.057,0.23290200000000003,51.159,0,,,,True,
