task,sample_id,dataset,source_id,subject,difficulty,requested_budget_tokens,budget_tokens,estimated_prompt_tokens,seq_len,returncode,runner_returncode,runner_reported_returncode,adb_pull_returncode,device_connection_status,error,prompt_tokens,generated_tokens,model_load_ms,ttft_ms,prefill_latency_ms,decode_latency_ms,inference_ms,e2e_latency_ms,prefill_token_per_sec,decode_token_per_sec,seq_len_stop,qnn_shards_restored,output_chars,replacement_chars,energy_j,average_power_w,energy_per_token_j,edp_j_s,start_voltage_v,end_voltage_v,start_current_a,end_current_a,start_power_w,end_power_w,start_skin_temp_c,end_skin_temp_c,max_skin_temp_c,peak_rss_mb,peak_vmhwm_mb,memory_use_mb,telemetry_sample_count,power_sample_count,energy_measurement_status,signed_net_battery_energy_j,signed_average_battery_power_w,external_powered_start,external_powered_end,power_sources_start,power_sources_end,telemetry_path,output_path,log_path,hammer_type,language,split,source_index,original_id,predicted_name,gold_name,predicted_parameters_json,gold_parameters_json,output_parsed,output_parse_error,rejected,function_correct,arguments_correct,parameter_hallucination_count,parameter_missing_count,score_correct
HAMMERBENCH,ST-External_00000,hammerbench-en-single-turn,ST-External,,,128,128,479,607,0,0,0,0,,,479,44,60025,560,560,2957,3517,3517,855.357,14.8799,False,4,148,0,1.0899534189818345,0.3099099854938398,0.02477166861322351,3.833366174559112,4.316007983382163,4.365949797570851,0.10797285650064331,0.011754655870445344,0.46601171064535324,0.05132023741808586,30.47531933528655,30.818174898785426,30.818174898785426,32.88671875,1004.21875,1004.21875,13,13,measured_signed_battery_energy,,,False,False,,,/home/lyyyy/pace/results/oneplus/hammerbench-en-single-turn_qwen2.5-3b_w4a16-block16_balanced/hammerbench/ST-External_00000/telemetry.csv,/home/lyyyy/pace/results/oneplus/hammerbench-en-single-turn_qwen2.5-3b_w4a16-block16_balanced/hammerbench/ST-External_00000/generated_text.txt,/home/lyyyy/pace/results/oneplus/hammerbench-en-single-turn_qwen2.5-3b_w4a16-block16_balanced/hammerbench/ST-External_00000/runner.log,ST-External,en,single-turn,0,ST-External,Navigation.TrafficViolations.queryViolation,Navigation.TrafficViolations.queryViolation,"{""plate_number"":""YueB6789X"",""city"":""Guangzhou"",""time"":""April 1, 2023""}","{""city"":""Guangzhou"",""plate_number"":""Yue B6789X"",""time"":""April 1, 2023""}",True,,False,True,False,0,0,False
HAMMERBENCH,ST-External_00001,hammerbench-en-single-turn,ST-External,,,128,128,680,808,0,0,0,0,,,680,45,53836,756,756,3018,3774,3774,899.471,14.9105,False,4,146,0,1.1565157715408116,0.3064429707315346,0.025700350478684703,4.364690521795024,4.351940286624204,4.335444263628967,0.019819267515923566,0.039240032546786006,0.08625226875393019,0.17012297400957738,30.305759554140124,31.05873555736371,31.05873555736371,34.96484375,1003.3984375,1003.3984375,11,11,measured_signed_battery_energy,,,False,False,,,/home/lyyyy/pace/results/oneplus/hammerbench-en-single-turn_qwen2.5-3b_w4a16-block16_balanced/hammerbench/ST-External_00001/telemetry.csv,/home/lyyyy/pace/results/oneplus/hammerbench-en-single-turn_qwen2.5-3b_w4a16-block16_balanced/hammerbench/ST-External_00001/generated_text.txt,/home/lyyyy/pace/results/oneplus/hammerbench-en-single-turn_qwen2.5-3b_w4a16-block16_balanced/hammerbench/ST-External_00001/runner.log,ST-External,en,single-turn,1,ST-External,Navigation.TrafficViolations.queryViolation,Navigation.TrafficViolations.queryViolation,"{""plate_number"":""Yue B67890"",""city"":""Guangzhou"",""time"":""2023-04-01""}","{""city"":""Guangzhou"",""plate_number"":""Yue B67890"",""time"":""April 1, 2023""}",True,,False,True,False,0,0,False
HAMMERBENCH,ST-External_00002,hammerbench-en-single-turn,ST-External,,,128,128,466,594,0,0,0,0,,,466,37,1639,506,506,2455,2961,2961,920.949,15.0713,False,4,160,0,1.2285992711476679,0.41492714324473756,0.03320538570669373,3.6378824418682445,4.318274541101357,4.352812101910828,0.11626097366320831,0.019205414012738856,0.5020468026934879,0.08359755853685749,31.556299281723863,31.97808439490446,31.97808439490446,34.70703125,1003.4375,1003.4375,10,10,measured_signed_battery_energy,,,False,False,,,/home/lyyyy/pace/results/oneplus/hammerbench-en-single-turn_qwen2.5-3b_w4a16-block16_balanced/hammerbench/ST-External_00002/telemetry.csv,/home/lyyyy/pace/results/oneplus/hammerbench-en-single-turn_qwen2.5-3b_w4a16-block16_balanced/hammerbench/ST-External_00002/generated_text.txt,/home/lyyyy/pace/results/oneplus/hammerbench-en-single-turn_qwen2.5-3b_w4a16-block16_balanced/hammerbench/ST-External_00002/runner.log,ST-External,en,single-turn,2,ST-External,Navigation.GovernmentServices.queryTrafficViolations,Navigation.TrafficViolations.viewViolationDetail,"{""plate_number"":""Zhejiang D45678"",""time"":""last Friday"",""city"":""Hangzhou""}","{""city"":""Hangzhou"",""plate_number"":""Zhejiang D45678"",""time"":""Last Friday""}",True,,False,False,True,0,0,False
HAMMERBENCH,ST-External_00003,hammerbench-en-single-turn,ST-External,,,128,128,504,632,0,0,0,0,,,504,44,1622,510,510,2951,3461,3461,988.235,14.9102,False,4,159,0,0.827612917031232,0.23912537331153771,0.018809384477982544,2.8643683058450935,4.300761133603239,4.348642857142857,0.11444534412955466,0.011464285714285715,0.4922020879542363,0.04985408418367347,32.3352064777328,32.64653571428571,32.64653571428571,34.859375,1003.7734375,1003.7734375,11,11,measured_signed_battery_energy,,,False,False,,,/home/lyyyy/pace/results/oneplus/hammerbench-en-single-turn_qwen2.5-3b_w4a16-block16_balanced/hammerbench/ST-External_00003/telemetry.csv,/home/lyyyy/pace/results/oneplus/hammerbench-en-single-turn_qwen2.5-3b_w4a16-block16_balanced/hammerbench/ST-External_00003/generated_text.txt,/home/lyyyy/pace/results/oneplus/hammerbench-en-single-turn_qwen2.5-3b_w4a16-block16_balanced/hammerbench/ST-External_00003/runner.log,ST-External,en,single-turn,3,ST-External,Navigation.TrafficViolations.queryViolation,Navigation.TrafficViolations.viewViolationDetail,"{""plate_number"":""Su E98765"",""city"":""Nanjing"",""time"":""day_before_yesterday_15:00""}","{""city"":""Nanjing"",""plate_number"":""Su E98765"",""time"":""The day before yesterday""}",True,,False,False,False,0,0,False
HAMMERBENCH,ST-External_00004,hammerbench-en-single-turn,ST-External,,,128,128,559,687,0,0,0,0,,,559,61,1667,635,635,4089,4724,4724,880.315,14.9181,False,4,196,0,1.032540241681,0.2185732941746401,0.016926889207885244,4.877720101701044,4.323612903225807,4.310348691099477,0.06885645161290323,0.08161570680628272,0.2977086426638918,0.35179215500561933,32.900872580645164,33.22424293193718,33.22424293193718,35.31640625,1004.15234375,1004.15234375,13,13,measured_signed_battery_energy,,,False,False,,,/home/lyyyy/pace/results/oneplus/hammerbench-en-single-turn_qwen2.5-3b_w4a16-block16_balanced/hammerbench/ST-External_00004/telemetry.csv,/home/lyyyy/pace/results/oneplus/hammerbench-en-single-turn_qwen2.5-3b_w4a16-block16_balanced/hammerbench/ST-External_00004/generated_text.txt,/home/lyyyy/pace/results/oneplus/hammerbench-en-single-turn_qwen2.5-3b_w4a16-block16_balanced/hammerbench/ST-External_00004/runner.log,ST-External,en,single-turn,4,ST-External,Navigation.TrafficViolations.shareViolationDetail,Navigation.TrafficViolations.shareViolationDetail,"{""plate_number"":""YueB6789X"",""city"":""Guangzhou"",""time"":""2023-04-01 16:00"",""media"":""email"",""name"":""Manager Zhang""}","{""city"":""Guangzhou"",""media"":""Email"",""name"":""Manager Zhang"",""plate_number"":""Yue B6789X"",""time"":""April 1, 2023""}",True,,False,True,False,0,0,False
HAMMERBENCH,ST-External_00005,hammerbench-en-single-turn,ST-External,,,128,128,571,699,0,0,0,0,,,571,47,1516,632,632,3094,3726,3726,903.481,15.1907,False,4,193,0,1.3446418288031003,0.36088079141253365,0.02860940061283192,5.010135454120352,4.316648026315789,4.350447174447174,0.08358881578947369,0.01726044226044226,0.3608234966997057,0.07509064226164962,33.45487828947368,33.63712285012285,33.63712285012285,35.1328125,1004.05078125,1004.05078125,11,11,measured_signed_battery_energy,,,False,False,,,/home/lyyyy/pace/results/oneplus/hammerbench-en-single-turn_qwen2.5-3b_w4a16-block16_balanced/hammerbench/ST-External_00005/telemetry.csv,/home/lyyyy/pace/results/oneplus/hammerbench-en-single-turn_qwen2.5-3b_w4a16-block16_balanced/hammerbench/ST-External_00005/generated_text.txt,/home/lyyyy/pace/results/oneplus/hammerbench-en-single-turn_qwen2.5-3b_w4a16-block16_balanced/hammerbench/ST-External_00005/runner.log,ST-External,en,single-turn,5,ST-External,Navigation.TrafficViolations.shareViolationDetail,Navigation.TrafficViolations.shareViolationDetail,"{""plate_number"":""Yu F123456"",""city"":""Chongqing"",""time"":""day before yesterday"",""media"":""Facebook"",""name"":""EK""}","{""city"":""Chongqing"",""media"":""Facebook"",""name"":""Tom"",""plate_number"":""Yu F123456"",""time"":""The day before yesterday""}",True,,False,True,False,0,0,False
HAMMERBENCH,ST-External_00006,hammerbench-en-single-turn,ST-External,,,128,128,633,761,0,0,0,0,,,633,53,1620,632,632,3543,4175,4175,1001.58,14.9591,False,4,200,0,0.6317317511322939,0.15131299428318415,0.01191946700249611,2.637480060977327,4.33704578313253,4.3318039215686275,0.045072289156626505,0.053690196078431375,0.19548058162287704,0.23257540192233758,33.816190361445784,33.99127843137255,33.99127843137255,34.93359375,1003.75390625,1003.75390625,12,12,measured_signed_battery_energy,,,False,False,,,/home/lyyyy/pace/results/oneplus/hammerbench-en-single-turn_qwen2.5-3b_w4a16-block16_balanced/hammerbench/ST-External_00006/telemetry.csv,/home/lyyyy/pace/results/oneplus/hammerbench-en-single-turn_qwen2.5-3b_w4a16-block16_balanced/hammerbench/ST-External_00006/generated_text.txt,/home/lyyyy/pace/results/oneplus/hammerbench-en-single-turn_qwen2.5-3b_w4a16-block16_balanced/hammerbench/ST-External_00006/runner.log,ST-External,en,single-turn,6,ST-External,ConvenientLiving.UtilityPayments.payViolations,Navigation.TrafficViolations.payViolations,"{""plate_number"":""Su E12345""}","{""city"":""Nanjing"",""plate_number"":""Su E12345"",""time"":""Today at 10am""}",True,,False,False,False,0,2,False
HAMMERBENCH,ST-External_00007,hammerbench-en-single-turn,ST-External,,,128,128,609,737,0,0,0,0,,,609,46,1497,646,646,3066,3712,3712,942.724,15.0033,False,4,145,0,1.0842479846182205,0.29209266826999475,0.023570608361265663,4.024728518902835,4.3331634615384615,4.356303370786517,0.10198557692307693,0.009994382022471911,0.4419201755269971,0.04353856009342255,34.13633173076923,34.337460674157306,34.337460674157306,35.21484375,1004.125,1004.125,11,11,measured_signed_battery_energy,,,False,False,,,/home/lyyyy/pace/results/oneplus/hammerbench-en-single-turn_qwen2.5-3b_w4a16-block16_balanced/hammerbench/ST-External_00007/telemetry.csv,/home/lyyyy/pace/results/oneplus/hammerbench-en-single-turn_qwen2.5-3b_w4a16-block16_balanced/hammerbench/ST-External_00007/generated_text.txt,/home/lyyyy/pace/results/oneplus/hammerbench-en-single-turn_qwen2.5-3b_w4a16-block16_balanced/hammerbench/ST-External_00007/runner.log,ST-External,en,single-turn,7,ST-External,Navigation.TrafficViolations.payViolations,Navigation.TrafficViolations.payViolations,"{""plate_number"":""Yue B88888"",""city"":""Guangzhou"",""time"":""2023-03-15""}","{""city"":""Guangzhou"",""plate_number"":""Yue B88888"",""time"":""March 15, 2023""}",True,,False,True,False,0,0,False
HAMMERBENCH,ST-External_00008,hammerbench-en-single-turn,ST-External,,,128,128,577,705,0,0,0,0,,,577,36,1612,4629,4629,2403,7032,7032,124.649,14.9813,False,4,140,0,2.08518313524955,0.29652774960886663,0.05792175375693195,14.663007807074836,4.349057984248374,4.3317742738589216,0.03642826161397101,0.05196265560165975,0.15842862202452918,0.2250904947366609,34.38801483848876,33.85799253112033,34.38801483848876,35.3671875,1003.98046875,1003.98046875,10,10,measured_signed_battery_energy,,,False,False,,,/home/lyyyy/pace/results/oneplus/hammerbench-en-single-turn_qwen2.5-3b_w4a16-block16_balanced/hammerbench/ST-External_00008/telemetry.csv,/home/lyyyy/pace/results/oneplus/hammerbench-en-single-turn_qwen2.5-3b_w4a16-block16_balanced/hammerbench/ST-External_00008/generated_text.txt,/home/lyyyy/pace/results/oneplus/hammerbench-en-single-turn_qwen2.5-3b_w4a16-block16_balanced/hammerbench/ST-External_00008/runner.log,ST-External,en,single-turn,8,ST-External,Navigation.TrafficViolations.reportAccident,Navigation.TrafficViolations.reportAccident,"{""plate_number"":""BEIJINGC98765"",""location"":""Chang'an Street""}","{""location"":""Changan Street"",""plate_number"":""Beijing C98765""}",True,,False,True,False,0,0,False
HAMMERBENCH,ST-External_00009,hammerbench-en-single-turn,ST-External,,,128,128,500,628,0,0,0,0,,,500,36,1672,512,512,2425,2937,2937,976.562,14.8454,False,4,139,0,0.831335228045556,0.2830559169375404,0.023092645223487668,2.441631564769798,4.30672397094431,4.332588470776622,0.12824213075060534,0.04801281024819856,0.5523034585886064,0.20801974813093072,34.01059564164649,34.1239935948759,34.1239935948759,34.83984375,1003.83984375,1003.83984375,10,10,measured_signed_battery_energy,,,False,False,,,/home/lyyyy/pace/results/oneplus/hammerbench-en-single-turn_qwen2.5-3b_w4a16-block16_balanced/hammerbench/ST-External_00009/telemetry.csv,/home/lyyyy/pace/results/oneplus/hammerbench-en-single-turn_qwen2.5-3b_w4a16-block16_balanced/hammerbench/ST-External_00009/generated_text.txt,/home/lyyyy/pace/results/oneplus/hammerbench-en-single-turn_qwen2.5-3b_w4a16-block16_balanced/hammerbench/ST-External_00009/runner.log,ST-External,en,single-turn,9,ST-External,Navigation.TrafficViolations.reportAccident,Navigation.TrafficViolations.reportAccident,"{""plate_number"":""Su E67890"",""location"":""Zhongshan Mausoleum""}","{""location"":""Near Zhongshan Mausoleum in Nanjing"",""plate_number"":""Su E67890""}",True,,False,True,False,0,0,False
