timestamp_ms,host_timestamp_ms,adb_latency_ms,voltage_v,current_a,power_w,skin_temp_c,thermal_status,runner_pid,rss_kb,vmhwm_kb,valid_power,error
1785851001698.000,1785851001698.000,66.000,3.679,0.078,0.286962,46.0,0,31545,20800,21548,True,
1785851002325.000,1785851002325.000,62.000,3.671,0.12,0.44051999999999997,46.0,0,31545,306460,306460,True,
1785851002945.500,1785851002945.500,65.000,3.678,0.061,0.224358,46.0,0,31545,190820,1087004,True,
1785851003571.500,1785851003571.500,65.000,3.658,0.117,0.42798600000000003,46.0,0,31545,67720,1087004,True,
1785851004200.500,1785851004200.500,67.000,3.66,0.12,0.4392,45.987,0,31545,67720,1087004,True,
1785851004834.000,1785851004834.000,66.000,3.657,0.15,0.54855,45.972,0,31545,67720,1087004,True,
1785851005465.000,1785851005465.000,64.000,3.656,0.091,0.332696,45.951,0,31545,67720,1087004,True,
1785851006093.000,1785851006093.000,68.000,3.659,0.15,0.54885,45.937,0,31545,67720,1087004,True,
1785851006723.500,1785851006723.500,65.000,3.66,0.133,0.48678000000000005,45.93,0,31545,67720,1087004,True,
1785851007354.000,1785851007354.000,66.000,3.656,0.142,0.519152,45.909,0,31545,67720,1087004,True,
1785851007984.000,1785851007984.000,66.000,3.655,0.158,0.57749,45.902,0,31545,67720,1087004,True,
1785851008622.000,1785851008622.000,120.000,3.599,0.349,1.256051,45.895,0,31545,67720,1087004,True,
1785851009266.500,1785851009266.500,39.000,3.618,0.26,0.94068,45.895,0,31545,67720,1087004,True,
1785851009879.500,1785851009879.500,71.000,3.668,0.081,0.29710800000000004,45.902,0,31545,67720,1087004,True,
1785851010507.000,1785851010507.000,48.000,3.687,0.033,0.121671,45.909,0,,,,True,
1785851010596.000,1785851010596.000,50.000,3.687,0.039,0.143793,45.923,0,,,,True,
