task,sample_id,budget_tokens,estimated_prompt_tokens,seq_len,runner_returncode,adb_pull_returncode,prompt_tokens,generated_tokens,model_load_ms,ttft_ms,e2e_latency_ms,prefill_token_per_sec,decode_token_per_sec,seq_len_stop,qnn_shards_restored,output_chars,replacement_chars,output_nonempty,score_correct,predicted_answer,gold_answer,answer_parse_method,predicted_action,gold_action,action_valid,action_error_type,action_error_message
W2,w2_001,128,136,264,0,0,136,127,1810,187,6182,727.273,21.1843,True,4,458,0,,True,64,64,exact_answer_phrase,,,,,
W2,w2_002,128,128,256,0,0,128,127,1787,101,6049,1267.33,21.3517,True,4,401,0,,False,NA,5,missing_answer_marker,,,,,
W2,w2_003,128,124,252,0,0,124,127,1777,98,6003,1265.31,21.5072,True,4,438,0,,False,NA,87,missing_answer_marker,,,,,
W2,w2_004,128,117,245,0,0,117,127,1743,99,5990,1181.82,21.5583,True,4,452,0,,True,34,34,exact_answer_phrase,,,,,
W2,w2_005,128,129,257,0,0,129,127,1782,187,6163,689.84,21.2517,True,4,429,0,,False,NA,15,missing_answer_marker,,,,,
W2,w2_006,128,127,255,0,0,127,127,1771,95,5987,1336.84,21.5547,True,4,409,0,,False,NA,770,missing_answer_marker,,,,,
W2,w2_007,128,115,243,0,0,115,127,1750,96,6091,1197.92,21.1843,True,4,390,0,,False,NA,28,missing_answer_marker,,,,,
W2,w2_008,128,124,252,0,0,124,127,1781,110,6067,1127.27,21.3195,True,4,486,0,,False,NA,50,missing_answer_marker,,,,,
W2,w2_009,128,112,240,0,0,112,127,1791,96,6112,1166.67,21.1104,True,4,460,0,,True,70,70,exact_answer_phrase,,,,,
W2,w2_010,128,113,241,0,0,113,127,1763,95,6011,1189.47,21.4672,True,4,478,0,,False,NA,100,missing_answer_marker,,,,,
W2,w2_011,128,128,256,0,0,128,127,1786,95,5946,1347.37,21.7057,True,4,424,0,,False,NA,12,missing_answer_marker,,,,,
W2,w2_012,128,125,253,0,0,125,127,1780,98,6077,1275.51,21.241,True,4,421,0,,False,NA,34,missing_answer_marker,,,,,
W2,w2_013,128,98,226,0,0,98,127,1762,110,6116,890.909,21.1455,True,4,413,0,,False,NA,19,missing_answer_marker,,,,,
W2,w2_014,128,97,225,0,0,97,127,1774,100,6112,970,21.1244,True,4,474,0,,False,NA,30,missing_answer_marker,,,,,
W2,w2_015,128,136,264,0,0,136,127,1776,200,6193,680,21.1914,True,4,280,0,,False,NA,150,missing_answer_marker,,,,,
W2,w2_016,128,110,238,0,0,110,127,1776,98,6082,1122.45,21.2233,True,4,382,0,,False,NA,70,missing_answer_marker,,,,,
W2,w2_017,128,103,231,0,0,103,127,1763,95,5989,1084.21,21.5473,True,4,532,0,,True,-3,-3,exact_answer_phrase,,,,,
W2,w2_018,128,150,278,0,0,150,127,1776,183,6110,819.672,21.4274,True,4,456,0,,False,NA,342,missing_answer_marker,,,,,
W2,w2_019,128,95,223,0,0,95,127,1764,98,6046,969.388,21.3517,True,4,450,0,,True,375,375,exact_answer_phrase,,,,,
W2,w2_020,128,151,279,0,0,151,127,1796,186,6215,811.828,21.0649,True,4,370,0,,False,NA,98,missing_answer_marker,,,,,
W2,w2_021,128,135,263,0,0,135,127,1769,187,6154,721.925,21.2837,True,4,593,0,,True,80,80,exact_answer_phrase,,,,,
W2,w2_022,128,131,259,0,0,131,127,1778,187,6181,700.535,21.1879,True,4,440,0,,False,NA,10,missing_answer_marker,,,,,
W2,w2_023,128,139,267,0,0,139,127,1721,187,6202,743.316,21.1139,True,4,389,0,,True,80,80,exact_answer_phrase,,,,,
W2,w2_024,128,106,234,0,0,106,127,1769,99,6104,1070.71,21.149,True,4,328,0,,True,122,122,exact_answer_phrase,,,,,
W2,w2_025,128,224,352,0,0,224,127,1773,197,6185,1137.06,21.2091,True,4,460,0,,False,NA,224,missing_answer_marker,,,,,
W2,w2_026,128,164,292,0,0,164,127,1759,202,6138,811.881,21.3949,True,4,375,0,,False,NA,0,missing_answer_marker,,,,,
W2,w2_027,128,128,256,0,0,128,127,1779,98,5982,1306.12,21.584,True,4,367,0,,False,NA,-4,missing_answer_marker,,,,,
W2,w2_028,128,95,223,0,0,95,127,1771,97,6084,979.381,21.2126,True,4,322,0,,False,NA,49,missing_answer_marker,,,,,
W2,w2_029,128,94,222,0,0,94,127,1750,95,6114,989.474,21.0999,True,4,527,0,,False,NA,0.07407407407407407407407407407,missing_answer_marker,,,,,
W2,w2_030,128,83,211,0,0,83,127,1770,96,6020,864.583,21.4382,True,4,482,0,,False,NA,10,missing_answer_marker,,,,,
